OPR_DT,OPR_HR,MW - Regulation Down MAX,MW - Regulation Down Min,MW - Regulation Up MAX,MW - Regulation Up Min
1/6/2020,10,900,8.88,0,8.88
1/6/2020,11,900,8.88,0,8.88
1/6/2020,12,900,8.88,0,8.88
1/6/2020,13,900,8.88,0,8.88
1/6/2020,14,900,8.88,0,8.88
1/6/2020,15,900,8.88,0,8.88
1/6/2020,16,900,8.88,0,8.88
1/6/2020,17,1048.62,8.88,0,8.88
1/6/2020,18,900,8.88,0,8.88
1/6/2020,19,900,8.88,0,8.88
1/6/2020,20,900,8.88,0,8.88
1/6/2020,21,900,8.88,0,8.88
1/6/2020,22,900,8.88,0,8.88
1/6/2020,23,900,8.88,0,8.88
1/6/2020,24,900,8.88,0,8.88
1/7/2020,1,900,8.88,0,8.88
1/7/2020,2,900,8.88,0,8.88
1/7/2020,3,900,8.88,0,8.88
1/7/2020,4,900,8.88,0,8.88
1/7/2020,5,900,8.88,0,8.88
1/7/2020,6,1053.7,8.88,0,8.88
1/7/2020,7,900,8.88,0,8.88
1/7/2020,8,900,8.88,0,8.88
1/7/2020,9,900,8.88,0,8.88
1/7/2020,10,900,8.88,0,8.88
1/7/2020,11,900,8.88,0,8.88
1/7/2020,12,900,8.88,0,8.88
1/7/2020,13,900,8.88,0,8.88
1/7/2020,14,900,8.88,0,8.88
1/7/2020,15,900,8.88,0,8.88
1/7/2020,16,900,8.88,0,8.88
1/7/2020,17,1068.56,8.88,0,8.88
1/7/2020,18,900,8.88,0,8.88
1/7/2020,19,900,8.88,0,8.88
1/7/2020,20,900,8.88,0,8.88
1/7/2020,21,900,8.88,0,8.88
1/7/2020,22,900,8.88,0,8.88
1/7/2020,23,900,8.88,0,8.88
1/7/2020,24,900,8.88,0,8.88
1/8/2020,1,900,8.88,0,8.88
1/8/2020,2,900,8.88,0,8.88
1/8/2020,3,900,8.88,0,8.88
1/8/2020,4,900,8.88,0,8.88
1/8/2020,5,900,8.88,0,8.88
1/8/2020,6,1030.96,8.88,0,8.88
1/8/2020,7,900,8.88,0,8.88
1/8/2020,8,900,8.88,0,8.88
1/8/2020,9,900,8.88,0,8.88
1/8/2020,10,900,8.88,0,8.88
1/8/2020,11,900,8.88,0,8.88
1/8/2020,12,900,8.88,0,8.88
1/8/2020,13,900,8.88,0,8.88
1/8/2020,14,900,8.88,0,8.88
1/8/2020,15,900,8.88,0,8.88
1/8/2020,16,900,8.88,0,8.88
1/8/2020,17,1048.34,8.88,0,8.88
1/8/2020,18,900,8.88,0,8.88
1/8/2020,19,900,8.88,0,8.88
1/8/2020,20,900,8.88,0,8.88
1/8/2020,21,900,8.88,0,8.88
1/8/2020,22,900,8.88,0,8.88
1/8/2020,23,900,8.88,0,8.88
1/8/2020,24,900,8.88,0,8.88
1/9/2020,1,900,8.88,0,8.88
1/9/2020,2,900,8.88,0,8.88
1/9/2020,3,900,8.88,0,8.88
1/9/2020,4,900,8.88,0,8.88
1/9/2020,5,900,8.88,0,8.88
1/9/2020,6,1019.7,8.88,0,8.88
1/9/2020,7,900,8.88,0,8.88
1/9/2020,8,900,8.88,0,8.88
1/9/2020,9,900,8.88,0,8.88
1/9/2020,10,900,8.88,0,8.88
1/9/2020,11,900,8.88,0,8.88
1/9/2020,12,900,8.88,0,8.88
1/9/2020,13,900,8.88,0,8.88
1/9/2020,14,900,8.88,0,8.88
1/9/2020,15,900,8.88,0,8.88
1/9/2020,16,900,8.88,0,8.88
1/9/2020,17,1001.22,8.88,0,8.88
1/9/2020,18,900,8.88,0,8.88
1/9/2020,19,900,8.88,0,8.88
1/9/2020,20,900,8.88,0,8.88
1/9/2020,21,900,8.88,0,8.88
1/9/2020,22,900,8.88,0,8.88
1/9/2020,23,900,8.88,0,8.88
1/9/2020,24,900,8.88,0,8.88
1/10/2020,1,900,8.88,0,8.88
1/10/2020,2,900,8.88,0,8.88
1/10/2020,3,900,8.88,0,8.88
1/10/2020,4,900,8.88,0,8.88
1/10/2020,5,900,8.88,0,8.88
1/10/2020,6,1027.48,8.88,0,8.88
1/10/2020,7,900,8.88,0,8.88
1/10/2020,8,900,8.88,0,8.88
1/10/2020,9,900,8.88,0,8.88
1/10/2020,10,900,8.88,0,8.88
1/10/2020,11,900,8.88,0,8.88
1/10/2020,12,900,8.88,0,8.88
1/10/2020,13,900,8.88,0,8.88
1/10/2020,14,900,8.88,0,8.88
1/10/2020,15,900,8.88,0,8.88
1/10/2020,16,900,8.88,0,8.88
1/10/2020,17,1069.09,8.88,0,8.88
1/10/2020,18,900,8.88,0,8.88
1/10/2020,19,900,8.88,0,8.88
1/10/2020,20,900,8.88,0,8.88
1/10/2020,21,900,8.88,0,8.88
1/10/2020,22,900,8.88,0,8.88
1/10/2020,23,900,8.88,0,8.88
1/10/2020,24,900,8.88,0,8.88
1/11/2020,1,900,8.88,0,8.88
1/11/2020,2,900,8.88,0,8.88
1/11/2020,3,900,8.88,0,8.88
1/11/2020,4,900,8.88,0,8.88
1/11/2020,5,900,8.88,0,8.88
1/11/2020,6,900,8.88,0,8.88
1/11/2020,7,900,8.88,0,8.88
1/11/2020,8,900,8.88,0,8.88
1/11/2020,9,900,8.88,0,8.88
1/11/2020,10,900,8.88,0,8.88
1/11/2020,11,900,8.88,0,8.88
1/11/2020,12,900,8.88,0,8.88
1/11/2020,13,900,8.88,0,8.88
1/11/2020,14,900,8.88,0,8.88
1/11/2020,15,900,8.88,0,8.88
1/11/2020,16,900,8.88,0,8.88
1/11/2020,17,1077.37,8.88,0,8.88
1/11/2020,18,900,8.88,0,8.88
1/11/2020,19,900,8.88,0,8.88
1/11/2020,20,900,8.88,0,8.88
1/11/2020,21,900,8.88,0,8.88
1/11/2020,22,900,8.88,0,8.88
1/11/2020,23,900,8.88,0,8.88
1/11/2020,24,900,8.88,0,8.88
1/12/2020,1,900,8.88,0,8.88
1/12/2020,2,900,8.88,0,8.88
1/12/2020,3,900,8.88,0,8.88
1/12/2020,4,900,8.88,0,8.88
1/12/2020,5,900,8.88,0,8.88
1/12/2020,6,900,8.88,0,8.88
1/12/2020,7,900,8.88,0,8.88
1/12/2020,8,900,8.88,0,8.88
1/12/2020,9,900,8.88,0,8.88
1/12/2020,10,900,8.88,0,8.88
1/12/2020,11,900,8.88,0,8.88
1/12/2020,12,900,8.88,0,8.88
1/12/2020,13,900,8.88,0,8.88
1/12/2020,14,900,8.88,0,8.88
1/12/2020,15,900,8.88,0,8.88
1/12/2020,16,992.03,8.88,0,8.88
1/12/2020,17,1131.11,8.88,0,8.88
1/12/2020,18,900,8.88,0,8.88
1/12/2020,19,900,8.88,0,8.88
1/12/2020,20,900,8.88,0,8.88
1/12/2020,21,900,8.88,0,8.88
1/12/2020,22,900,8.88,0,8.88
1/12/2020,23,900,8.88,0,8.88
1/12/2020,24,900,8.88,0,8.88
1/13/2020,1,900,8.88,0,8.88
1/13/2020,2,900,8.88,0,8.88
1/13/2020,3,900,8.88,0,8.88
1/13/2020,4,900,8.88,0,8.88
1/13/2020,5,900,8.88,0,8.88
1/13/2020,6,999.69,8.88,0,8.88
1/13/2020,7,900,8.88,0,8.88
1/13/2020,8,900,8.88,0,8.88
1/13/2020,9,900,8.88,0,8.88
1/13/2020,10,900,8.88,0,8.88
1/13/2020,11,900,8.88,0,8.88
1/13/2020,12,900,8.88,0,8.88
1/13/2020,13,900,8.88,0,8.88
1/13/2020,14,900,8.88,0,8.88
1/13/2020,15,900,8.88,0,8.88
1/13/2020,16,900,8.88,0,8.88
1/13/2020,17,1057.19,8.88,0,8.88
1/13/2020,18,900,8.88,0,8.88
